height,weight
163.57,56.08
180.58,58.05
173.28,61.59
167.43,52.83
171.29,57.45
187.71,68.58
177.75,59.07
176.58,61.70
165.57,51.37
172.74,56.77
173.58,57.80
165.57,48.54
173.39,52.76
174.16,60.63
163.82,51.14
174.52,59.23
174.98,62.40
176.63,56.81
171.20,62.73
168.85,54.73
167.67,63.49
184.01,61.94
162.88,48.07
180.29,72.01
171.45,49.28
182.92,62.87
165.89,52.51
170.37,66.27
163.55,49.77
176.20,62.99
173.68,54.31
165.89,58.12
170.53,57.64
173.72,52.20
168.38,56.53
170.65,57.51
167.62,50.41
176.36,55.54
172.66,56.27
172.11,56.46
165.81,54.14
187.54,63.10
169.71,47.49
169.91,55.74
166.97,53.86
167.60,55.04
169.12,54.02
170.47,61.17
167.32,52.65
169.62,49.46
174.59,56.27
168.22,63.95
167.54,58.50
174.20,57.92
169.15,54.78
170.09,57.82
172.92,45.97
178.28,65.68
166.42,50.26
171.35,60.19
171.22,66.29
176.94,65.95
167.13,54.74
167.91,52.45
173.33,58.12
172.78,57.74
181.33,57.93
166.96,55.04
168.74,51.06
177.83,61.16
176.48,58.29
174.31,56.36
173.64,63.43
173.71,53.24
174.69,65.17
177.61,63.95
181.75,70.64
173.86,60.71
169.45,58.93
169.38,48.12
172.56,50.76
175.00,61.69
170.92,59.45
176.71,59.49
171.89,54.15
175.37,53.00
172.64,62.75
167.23,49.67
167.06,58.96
180.70,62.11
172.29,51.53
165.28,52.08
177.06,57.85
177.62,55.26
167.93,53.44
174.28,57.85
175.25,53.44
169.65,56.70
172.78,63.92
176.97,65.90
182.43,52.58
184.78,61.49
170.89,60.21
171.22,52.39
174.07,51.79
173.92,67.48
174.04,64.41
161.86,60.75
171.97,64.28
176.46,62.85
169.42,60.91
165.69,53.01
177.53,52.40
177.37,61.06
166.11,54.62
173.54,54.40
167.48,38.21
178.05,62.94
167.78,65.02
173.32,55.78
165.65,52.33
175.67,54.81
171.71,54.65
170.91,56.19
169.78,53.10
172.93,57.97
169.09,52.89
178.23,55.26
172.34,56.17
169.22,49.31
161.77,47.41
172.81,59.91
170.03,57.61
168.31,56.68
179.65,60.39
179.60,55.42
186.10,59.01
162.03,52.88
172.32,57.01
172.16,45.58
170.79,53.68
169.56,62.12
175.34,53.77
174.06,56.25
164.22,56.60
165.46,57.25
169.52,55.05
170.18,60.38
178.48,57.72
171.64,56.66
168.42,46.57
175.02,60.80
166.64,45.74
172.72,66.09
177.64,70.35
178.17,62.84
169.33,52.67
176.29,54.64
169.69,51.83
171.96,60.40
175.60,42.02
171.55,59.70
167.08,53.63
168.29,59.41
171.17,58.98
164.96,58.52
175.91,64.84
175.46,62.85
176.90,59.32
175.46,56.31
172.75,61.32
174.90,56.26
160.51,50.39
166.56,58.62
175.57,57.87
177.26,54.96
171.40,53.55
175.48,55.87
174.12,68.82
173.26,52.24
170.44,55.44
180.94,58.54
175.56,62.64
166.37,65.26
169.13,54.74
172.72,51.33
184.35,67.64
172.66,59.18
169.22,55.44
170.93,60.64
167.54,61.08
169.01,62.44
172.92,51.04
167.22,54.90
175.86,52.06
164.32,50.00
175.80,57.09
170.61,53.77
172.33,54.05
175.96,68.29
172.48,54.86
170.37,53.64
177.84,64.67
177.94,65.97
180.00,57.69
167.79,52.53
165.70,47.31
174.60,62.74
176.58,65.91
178.58,56.36
170.94,56.26
171.72,57.15
172.35,62.88
168.82,55.06
175.06,51.76
173.91,58.62
176.58,62.31
178.41,60.93
172.36,57.85
172.73,52.40
170.54,59.61
172.97,57.80
175.24,56.95
176.09,54.35
178.04,63.81
174.61,62.02
163.03,53.67
167.87,58.69
175.88,68.89
176.95,54.75
173.81,61.65
173.45,58.92
176.22,59.69
173.62,63.14
183.71,76.21
178.74,57.82
166.95,59.71
168.90,55.65
179.87,63.52
171.13,64.64
172.20,62.26
173.13,57.10
174.90,65.05
171.99,55.55
164.24,49.20
166.97,45.60
173.80,52.61
174.98,63.66
173.42,56.94
175.72,60.85
184.43,61.82
167.75,57.93
175.84,55.78
174.95,52.70
168.81,56.42
176.03,56.98
171.66,48.74
176.32,64.79
171.37,53.79
168.78,53.90
174.66,59.74
161.97,54.07
175.35,57.13
168.88,57.36
169.53,51.44
171.94,52.48
169.39,59.01
170.25,56.83
167.41,53.08
177.88,62.21
175.95,67.70
178.00,68.43
164.87,53.00
177.01,62.59
171.62,57.81
162.19,54.70
181.91,65.35
165.07,47.92
164.10,54.43
157.52,49.42
165.82,57.06
171.96,49.94
179.98,60.92
173.15,52.32
171.32,56.67
180.45,52.73
172.29,60.43
170.57,49.26
173.49,60.88
166.15,59.44
174.42,59.27
177.97,57.57
175.60,54.09
170.23,47.82
166.43,60.92
178.30,60.11
171.88,57.10
177.12,57.24
171.75,64.49
179.82,56.44
176.93,55.43
169.50,55.82
171.65,59.53
165.74,56.31
179.61,58.16
181.04,61.99
169.06,53.48
172.83,55.04
173.02,54.03
180.94,57.33
169.99,58.55
180.60,61.06
176.31,66.17
175.69,73.57
174.19,58.98
176.79,59.88
175.39,57.74
173.45,56.78
175.90,61.04
173.33,55.24
171.92,56.93
174.86,66.12
176.58,54.32
170.12,50.51
182.89,62.82
171.31,61.16
167.80,52.78
166.56,56.15
173.49,62.04
180.41,69.35
179.75,57.24
171.47,65.71
176.55,61.23
168.77,49.29
174.17,50.06
170.21,62.64
174.50,54.14
173.30,52.24
178.83,59.96
166.88,42.58
166.89,57.71
173.94,60.84
169.24,56.61
169.78,56.20
177.54,60.50
171.84,60.77
173.51,59.00
177.16,62.56
174.19,57.35
173.09,59.71
172.67,59.68
164.66,53.28
175.79,57.17
175.93,57.76
180.19,64.54
175.46,63.17
168.15,49.98
180.49,59.78
175.25,58.53
180.24,56.33
167.70,57.32
177.45,67.60
169.74,64.40
175.50,57.60
169.71,55.42
170.51,51.04
164.02,60.82
174.45,54.67
171.54,52.45
180.79,58.29
179.16,61.05
181.70,53.61
169.60,48.09
168.49,57.25
164.67,51.81
173.69,59.02
172.85,55.86
175.49,55.65
177.57,56.94
173.75,50.61
173.55,56.87
170.07,54.35
179.19,60.07
176.22,60.10
171.50,53.21
164.77,46.14
175.60,58.18
174.78,60.72
171.61,57.87
173.15,57.81
167.15,63.15
164.90,51.61
173.62,66.83
169.46,60.09
175.72,60.16
167.36,47.61
167.73,57.77
176.38,59.22
170.56,58.25
166.86,55.52
176.35,71.26
169.02,54.86
175.37,66.82
171.76,53.22
176.76,60.00
173.03,53.53
180.92,56.05
168.74,59.06
168.45,55.67
172.79,48.86
173.45,53.72
169.97,56.92
182.31,67.32
167.76,68.08
175.30,57.56
174.52,58.31
165.13,53.65
167.79,56.80
180.76,67.62
171.58,48.63
174.84,60.57
173.02,56.56
172.48,51.05
171.81,57.91
177.25,60.78
172.72,62.79
176.31,57.10
178.89,58.70
171.89,60.75
172.42,48.07
172.90,57.56
170.17,55.23
181.81,68.28
163.49,52.55
172.54,56.84
177.59,59.62
177.64,58.47
169.67,58.49
178.08,67.12
175.13,47.74
172.79,50.08
176.18,53.74
173.86,55.64
166.89,56.57
176.67,61.50
167.25,52.75
174.75,56.79
175.36,60.30
171.10,62.66
178.71,56.40
177.52,61.93
165.49,52.10
176.30,60.08
174.01,64.84
166.92,61.04
162.52,55.55
178.00,69.56
173.80,57.21
173.32,61.03
172.28,60.97
168.43,53.63
177.17,54.95
166.90,59.92
169.88,62.99
170.89,50.15
179.41,69.81
177.64,56.24
167.33,60.94
184.02,62.63
177.98,67.53
171.92,57.53
167.93,53.37
177.66,67.46
173.34,58.08
174.76,58.75
169.21,56.88
178.28,58.34
166.60,56.26
174.49,68.59
164.81,48.46
177.34,65.97
168.50,55.08
178.93,59.32
177.78,61.44
178.15,56.14
170.64,59.79
173.24,53.22
172.11,58.73
164.59,55.43
168.86,51.91
170.14,52.79
166.88,63.16
169.74,55.94
168.53,60.04
178.14,64.96
178.09,60.22
163.99,44.80
173.12,55.46
170.55,47.42
180.06,64.68
173.13,59.31
180.84,65.15
172.53,64.45
165.87,48.90
168.68,47.88
181.12,56.81
175.41,48.21
167.52,53.70
176.88,61.96
180.61,66.11
168.20,58.73
167.98,49.15
172.17,54.93
169.36,61.49
177.78,62.29
180.71,56.17
174.34,58.37
175.48,60.56
172.65,48.25
167.51,51.21
167.69,57.06
180.94,63.55
171.52,64.88
180.52,66.05
173.41,58.06
170.99,60.79
175.23,63.52
173.75,66.29
170.41,59.83
169.59,55.32
166.74,59.56
165.97,58.67
173.18,56.96
179.47,69.37
167.50,56.42
176.85,61.07
173.48,52.27
177.95,53.44
173.83,56.43
175.95,60.89
171.97,58.58
180.07,60.31
179.18,66.75
181.82,70.22
173.79,57.21
176.17,60.91
178.93,60.72
171.15,58.40
171.47,55.74
174.04,50.82
169.69,50.62
183.86,67.25
174.03,61.95
179.83,60.34
168.20,52.95
173.51,56.56
170.62,55.08
172.14,55.81
171.38,62.12
172.15,55.04
175.77,68.38
177.91,64.46
179.25,61.04
168.79,60.50
171.91,61.65
167.02,43.13
176.16,54.24
179.30,69.27
170.88,63.51
173.96,65.80
170.24,54.13
167.07,55.95
167.55,50.14
173.20,50.51
183.10,63.19
169.81,60.29
175.54,60.48
164.06,51.08
170.28,56.53
175.24,55.91
179.32,64.37
178.03,52.68
166.84,59.40
170.43,59.46
167.74,57.64
175.93,55.47
169.20,52.21
173.02,57.51
177.12,64.98
162.61,56.80
168.24,49.38
184.07,63.08
168.20,46.29
181.10,65.41
160.34,37.64
180.16,65.86
173.37,61.12
164.54,61.01
166.19,50.51
175.04,54.27
165.02,43.35
168.03,53.07
167.60,57.64
175.88,65.65
173.53,55.65
178.09,60.79
174.33,56.61
172.07,61.54
164.05,54.73
164.24,56.63
167.41,60.50
167.07,56.42
170.56,61.59
183.50,65.04
174.58,59.15
171.63,57.62
178.72,63.98
161.60,48.66
168.17,55.41
168.20,50.56
177.98,62.46
176.93,64.72
168.28,51.84
172.90,58.11
170.56,60.96
174.67,63.47
173.03,55.26
166.95,50.48
175.70,61.19
178.72,60.24
179.80,53.34
180.04,61.15
169.22,68.68
177.76,58.40
170.00,54.43
181.50,56.90
176.95,57.91
176.05,61.67
169.16,52.68
163.07,57.57
173.31,56.95
178.03,54.85
180.28,55.60
164.93,54.11
169.93,60.21
175.76,60.19
173.77,56.33
168.44,59.90
183.22,64.69
167.00,58.71
177.72,58.23
165.39,51.19
171.28,55.30
168.65,53.63
170.66,58.95
171.92,50.59
172.15,64.44
161.62,55.54
168.78,55.64
182.69,53.96
172.52,63.16
172.75,64.02
172.12,54.26
175.76,61.76
170.18,53.64
170.43,62.37
177.42,58.47
171.27,55.93
173.00,52.29
173.47,58.86
176.41,61.59
175.47,57.90
180.13,63.01
163.08,49.47
180.60,56.45
183.10,61.71
168.02,54.57
171.52,52.62
170.63,52.33
185.24,64.32
166.47,61.38
175.48,61.21
165.84,49.04
174.08,56.68
181.17,64.73
169.88,58.12
172.50,58.11
170.19,46.92
173.42,70.72
168.16,47.55
163.18,55.10
171.29,59.80
163.83,53.64
175.00,61.33
178.64,63.72
163.37,50.59
170.47,58.00
172.75,59.10
173.36,58.08
172.13,64.70
171.30,55.76
166.97,53.40
176.90,59.31
182.70,58.52
176.26,65.49
170.55,52.49
175.63,52.79
169.94,64.32
172.31,59.86
172.96,61.27
168.00,57.56
180.76,58.82
171.60,60.93
177.83,54.98
184.31,64.85
169.17,56.52
174.04,54.43
168.52,63.16
175.33,59.65
175.58,59.37
173.34,58.84
173.96,55.87
179.53,62.30
178.71,62.01
171.76,53.64
176.39,52.66
172.53,56.55
173.72,54.80
168.45,47.62
180.92,65.88
165.84,49.01
167.65,59.06
171.75,53.23
175.52,61.55
175.25,57.76
175.45,68.58
173.59,50.95
182.07,71.01
174.69,62.61
168.10,49.63
183.82,63.41
169.80,56.44
167.02,59.12
177.02,68.44
168.35,49.27
168.85,48.01
174.55,64.97
173.46,51.98
171.87,56.07
181.10,63.18
170.37,52.47
179.53,66.40
181.36,69.76
180.35,62.33
168.35,57.05
172.86,63.28
162.98,57.24
169.87,51.61
179.15,58.78
166.26,52.64
175.55,63.03
172.57,57.52
170.72,57.00
171.80,51.43
178.04,55.83
163.61,55.74
177.23,58.04
169.12,57.95
173.10,50.04
168.10,57.96
169.66,53.53
170.60,58.77
172.77,59.17
170.07,47.58
174.51,55.55
176.99,62.66
168.98,48.81
168.83,64.07
181.47,69.62
169.23,60.95
162.59,49.68
165.18,53.09
169.60,56.30
175.06,56.72
180.92,60.35
180.60,55.54
177.31,61.09
170.41,50.49
170.89,52.93
182.54,64.85
170.69,45.27
173.84,57.95
170.70,61.91
176.19,65.86
175.37,57.39
167.40,58.07
168.78,55.64
167.84,60.37
176.16,52.89
179.92,65.25
171.87,60.03
165.89,56.16
169.34,51.25
170.01,56.15
172.06,60.69
163.26,58.05
169.76,54.94
167.38,55.59
171.85,56.81
174.47,56.57
167.84,52.82
169.96,58.84
176.49,56.12
174.24,62.36
175.80,59.29
171.79,64.31
166.96,56.96
167.89,47.30
171.84,53.03
171.69,59.69
176.73,56.84
167.87,58.70
178.00,58.94
165.12,59.76
175.68,64.54
176.82,57.82
181.57,69.45
176.46,57.42
175.27,51.65
176.68,60.69
174.34,57.80
170.69,57.30
167.83,54.71
168.11,57.37
179.85,60.28
170.58,57.06
165.86,54.96
175.86,58.79
175.03,58.91
183.76,55.90
173.47,62.19
173.60,57.87
171.36,60.56
174.92,51.61
169.23,61.43
164.52,55.54
171.97,53.88
185.40,60.82
180.22,56.30
172.61,59.21
170.71,56.48
168.58,58.48
171.80,55.24
177.15,57.20
173.17,60.98
169.92,59.73
171.44,46.92
168.95,52.73
169.88,55.95
177.11,68.10
177.25,61.27
166.12,50.94
172.72,62.28
183.53,60.15
179.82,57.09
165.58,64.04
171.99,61.57
177.93,61.00
170.95,55.28
168.65,58.14
177.13,59.18
174.54,59.67
162.27,49.20
173.76,51.90
172.55,60.48
179.57,61.55
175.14,67.09
168.90,55.95
174.23,54.74
168.31,52.67
176.75,56.13
171.09,54.05
177.01,54.09
173.84,56.44
173.94,59.29
166.25,53.55
169.69,49.66
177.93,63.52
171.29,55.07
169.02,44.53
171.00,53.28
172.65,61.84
175.36,67.49
171.94,56.16
176.03,60.52
166.11,53.11
173.63,55.99
166.04,53.35
173.65,62.17
180.74,58.53
175.91,64.51
169.41,58.20
175.71,52.23
173.52,54.15
172.25,55.14
174.15,64.71
168.23,49.88
175.14,55.31
172.38,56.54
172.86,54.05
172.06,60.00
177.38,60.26
179.54,72.88
163.94,53.96
172.55,62.75
172.14,56.54
176.31,61.60
172.14,52.65
172.21,63.06
172.68,62.51
177.75,65.46
162.13,49.46
166.55,57.63
176.13,56.42
170.90,52.06
174.61,60.02
175.34,56.80
176.90,58.21
169.42,53.33
172.50,51.17
163.50,57.16
167.32,53.81
170.37,56.82
176.14,56.60
177.37,65.92
167.90,52.90
175.93,60.03
173.57,52.05
176.23,55.66
175.59,59.15
173.85,53.95
168.52,60.62
177.88,58.25
178.22,62.98
173.19,45.88
178.11,63.85
173.81,60.98
168.76,58.87
182.19,63.00
179.64,61.25
172.95,58.75
178.13,58.50
167.78,58.44
177.22,51.07
173.12,57.13
177.58,53.62
165.98,55.71
173.62,59.06
163.84,51.74
172.61,52.45
174.18,62.49
173.03,50.85
174.69,62.17
172.53,56.60
175.64,61.20
160.54,51.83
175.88,55.35
167.35,58.61
172.34,58.86
166.56,63.63
169.44,54.77
175.70,58.51
175.86,62.12
171.63,65.79
176.54,63.46
179.33,56.23
169.02,61.47
175.55,57.87
177.68,65.25
171.97,59.77
175.74,61.39
172.22,68.57
171.77,56.49
178.74,61.28
180.41,61.85
177.41,62.46
170.40,51.74
174.30,64.14
163.51,50.33
167.48,57.25
165.72,60.20
179.11,65.59
169.19,49.10
170.52,56.23
169.61,58.64
171.94,59.49
172.28,50.57
169.25,50.57
171.76,63.56
176.96,56.86
159.39,51.86
163.93,51.64
172.77,53.09
168.62,62.66
178.28,55.43
164.20,60.22
171.42,56.19
182.93,65.30
169.20,52.30
167.18,52.78
180.75,63.25
174.04,60.36
165.00,54.37
169.88,55.77
178.70,60.18
172.00,54.78
167.72,58.79
175.22,62.02
174.25,59.40
169.78,60.47
172.81,61.78
164.58,59.55
179.20,57.17
173.44,52.12
174.69,59.03
170.42,59.66
178.16,61.45
166.29,54.50
175.32,58.50
188.59,68.05
162.78,54.45
171.65,59.87
175.75,59.85
163.79,54.13
174.65,61.95
173.87,66.95
168.76,65.96
178.25,56.61
170.53,57.94
169.97,57.04
174.33,49.69
170.07,48.82
177.73,60.75
169.99,61.11
174.66,63.26
171.21,57.54
167.00,61.05
167.34,45.29
169.61,58.64
170.08,58.60
161.20,46.96
173.61,52.43
163.66,47.51
161.35,59.35
169.83,58.47
166.46,46.45
182.43,60.35
174.92,66.27
179.81,63.79
175.31,60.01
171.08,53.84
168.48,60.45
172.11,61.10
174.37,58.74
173.20,61.94
181.71,60.70
174.22,58.04
181.20,59.00
170.66,59.02
171.96,58.13
162.89,60.72
177.55,63.68
169.47,52.18
176.16,61.54
177.06,64.71
172.05,64.82
173.15,52.07
182.75,67.69
171.13,59.82
165.96,57.54
166.72,46.82
175.05,56.77
166.23,59.18
173.02,56.34
176.59,63.69
176.28,56.28
177.82,60.23
174.24,58.98
164.50,48.30
171.52,49.37
169.47,49.81
172.59,56.34
175.51,59.57
177.92,62.25
172.52,52.56
172.70,53.41
175.06,52.88
169.55,52.30
172.90,58.88
174.65,67.46
180.16,57.12
173.48,52.32
175.90,71.93
173.72,63.97
173.94,58.82
176.46,62.09
168.48,55.83
169.89,53.44
165.61,46.43
173.67,59.18
170.45,65.51
159.11,45.39
175.44,54.49
180.74,65.37
175.09,52.04
172.99,64.11
163.72,51.96
167.56,55.11
174.58,54.05
179.16,61.25
171.21,52.52
167.93,55.82
176.46,60.28
180.23,61.76
166.54,56.24
166.35,52.68
174.99,60.32
171.70,62.49
168.08,60.39
174.51,51.74
166.31,62.36
172.02,59.59
177.86,62.16
177.09,61.22
172.49,51.61
166.66,60.06
181.37,60.51
168.35,48.37
165.17,43.12
166.85,51.76
169.82,57.30
173.30,57.40
167.95,50.24
181.17,59.96
178.33,60.57
180.43,65.24
173.19,58.85
175.24,48.28
172.61,55.24
176.53,53.53
170.50,48.32
172.10,58.19
171.91,57.74
164.39,46.63
177.11,57.91
174.00,63.32
179.23,60.38
169.13,54.49
162.06,46.39
168.63,60.80
169.65,55.03
170.15,49.04
184.45,66.07
172.23,52.06
174.34,56.48
167.18,51.47
169.10,57.20
168.66,56.19
169.57,54.61
175.32,56.36
178.43,58.97
178.27,62.18
171.79,57.49
168.75,53.58
171.46,54.22
173.22,60.85
168.46,54.38
178.66,63.54
172.66,63.15
167.83,47.61
172.72,63.57
166.33,63.32
170.17,53.68
177.53,55.19
172.80,59.05
177.83,62.61
169.96,54.35
181.43,64.11
163.64,58.02
174.33,55.57
178.18,61.42
177.66,71.94
168.68,46.75
165.79,55.69
170.25,54.06
168.49,63.23
177.94,56.22
181.59,60.04
170.48,52.58
184.20,73.78
174.24,59.41
169.47,56.57
173.56,56.05
168.98,53.91
177.31,61.36
178.28,63.26
171.97,54.52
169.51,51.21
173.67,52.39
173.08,58.27
165.95,43.73
173.42,55.57
175.71,58.62
168.86,58.37
168.34,60.29
172.22,58.95
184.57,62.93
179.38,62.93
171.33,47.98
174.04,61.35
183.03,66.73
164.38,49.27
168.89,58.42
182.66,66.95
173.68,58.24
176.38,57.73
166.82,58.40
172.67,55.88
173.20,55.29
172.64,72.33
171.94,55.04
169.82,56.34
174.00,59.14
168.83,53.35
179.16,66.66
174.25,58.28
170.53,52.41
162.12,47.16
171.18,55.47
181.14,56.45
172.67,45.49
172.22,59.71
180.48,61.05
179.52,67.29
176.41,68.56
172.10,55.00
168.60,60.12
169.95,53.51
171.09,54.55
177.89,64.07
188.45,58.46
173.84,58.58
174.92,67.30
168.70,50.88
174.20,58.93
175.30,55.80
162.88,45.01
184.37,63.03
176.63,59.79
176.08,57.85
170.84,61.99
174.77,57.30
167.22,50.37
175.63,58.22
169.58,55.78
173.00,64.04
168.98,57.54
169.48,53.48
169.34,52.26
167.99,62.03
172.83,57.34
171.12,58.53
173.68,64.40
174.35,61.87
170.35,55.25
176.00,66.55
177.74,64.62
173.65,63.52
173.25,49.76
171.06,61.11
167.42,57.81
171.14,49.36
179.77,62.71
185.03,68.61
164.99,58.89
174.43,51.23
174.59,58.50
171.03,60.34
169.39,56.56
167.26,55.03
179.87,62.45
165.34,57.00
179.37,61.30
172.62,48.65
179.55,65.32
168.51,45.57
182.83,58.97
178.24,63.83
179.40,65.08
164.78,40.90
176.85,59.08
165.54,56.12
175.50,69.80
182.42,62.29
174.40,64.24
170.63,57.46
172.73,59.78
179.76,54.80
174.82,54.26
177.92,57.87
175.14,60.81
163.61,49.16
162.12,56.65
173.62,55.73
175.91,58.84
186.39,70.13
176.18,68.82
179.63,61.47
171.68,57.62
180.31,62.46
172.06,56.39
180.61,70.03
182.78,60.73
166.98,53.21
166.73,58.14
173.66,53.50
179.09,57.90
168.74,58.85
169.17,59.49
172.81,58.05
177.38,55.64
173.28,65.04
172.16,48.28
170.66,56.60
168.07,51.50
167.60,47.79
178.75,56.80
170.14,54.37
175.44,61.18
163.57,50.76
178.56,57.37
173.91,57.41
172.91,62.82
176.92,64.94
172.34,56.48
174.78,54.00
174.96,58.67
181.08,63.97
164.94,56.59
163.57,53.32
171.73,58.04
166.03,56.85
174.17,63.38
176.86,60.05
164.24,58.67
180.80,63.14
166.87,55.14
167.78,55.61
170.31,53.18
173.80,61.57
174.10,56.10
167.52,46.59
170.06,54.06
164.89,47.31
169.15,58.54
173.17,62.62
176.72,62.81
182.01,59.08
165.27,56.37
169.81,57.94
172.32,56.75
175.84,54.89
177.17,58.05
171.42,55.04
173.04,58.61
174.00,57.75
171.45,51.25
174.84,60.06
166.14,50.09
173.51,63.05
174.71,58.33
166.12,60.24
169.56,56.63
166.05,43.40
179.45,69.27
180.28,54.91
169.57,57.73
168.32,54.48
171.05,57.76
171.17,50.29
180.45,69.56
161.90,50.26
169.98,54.86
167.26,55.95
170.27,52.71
172.54,61.13
169.49,51.57
168.52,51.21
168.99,57.79
174.27,56.69
167.92,52.30
170.21,62.94
178.96,60.38
165.93,59.12
170.90,51.76
178.75,62.34
172.84,51.88
178.74,63.19
173.69,56.49
172.18,58.91
177.24,64.23
176.77,56.83
172.67,53.99
167.24,48.49
170.16,56.79
161.41,52.44
181.63,58.35
177.65,58.61
180.87,65.98
181.77,55.99
165.89,56.46
165.57,55.60
165.74,54.49
171.36,58.27
170.88,50.52
165.03,53.34
164.10,49.59
177.13,60.22
172.15,56.26
176.04,61.97
181.31,64.87
166.65,53.14
168.23,59.26
168.99,62.26
171.49,58.42
172.02,51.93
174.17,62.73
168.24,55.81
172.09,55.26
173.44,67.67
173.74,62.16
167.88,62.82
177.89,53.83
166.29,52.88
168.83,59.60
172.35,58.70
178.73,59.57
172.96,56.71
177.96,59.73
171.85,54.83
175.48,55.21
173.76,67.00
175.59,59.18
172.65,63.41
171.78,57.37
169.68,52.91
174.18,59.99
171.33,59.18
174.34,60.08
167.45,56.40
179.57,58.73
172.96,59.48
176.54,54.99
170.28,52.93
175.38,64.98
179.48,63.47
172.58,57.60
174.02,52.73
174.78,65.95
170.56,61.64
173.59,57.18
171.16,59.34
164.81,59.66
166.46,56.71
176.26,66.61
168.83,49.54
160.67,54.70
171.74,50.95
177.50,62.72
178.20,61.93
179.35,61.61
181.32,67.37
169.01,54.56
180.49,60.50
171.80,63.44
162.16,58.44
169.65,54.85
174.27,56.93
178.84,53.30
165.62,60.68
175.48,55.25
173.47,61.33
167.23,50.57
170.65,53.14
172.40,59.68
171.49,59.05
172.69,56.51
178.66,57.78
170.94,53.71
167.53,53.79
165.82,53.11
182.53,57.75
170.99,58.42
174.05,66.91
177.16,59.87
167.03,58.74
170.84,64.59
171.68,55.81
166.49,51.92
179.27,60.78
164.94,58.62
177.44,60.29
179.88,58.92
173.48,63.10
171.57,59.59
182.62,61.30
174.80,59.15
174.19,65.64
167.68,55.21
170.83,50.12
179.21,67.99
168.39,56.11
174.17,58.18
174.26,56.71
172.71,58.77
167.97,56.95
168.69,59.80
173.80,63.44
169.69,51.70
172.02,52.61
180.32,53.32
171.60,59.47
175.58,51.47
172.66,65.58
168.40,64.15
176.05,63.43
166.71,49.12
168.21,53.11
169.53,57.43
176.94,61.19
173.27,59.80
175.98,49.47
176.89,57.92
181.56,55.30
176.21,62.37
165.58,57.80
162.62,50.55
169.13,54.99
167.17,62.90
167.90,52.78
174.15,62.26
172.45,55.26
181.42,52.92
167.61,57.10
180.23,51.97
163.51,57.42
177.21,59.50
168.83,53.95
172.11,62.45
180.79,58.70
170.98,58.03
178.36,62.27
176.00,58.72
168.55,60.47
175.96,56.53
168.60,51.62
160.63,52.93
175.72,62.85
175.55,56.83
171.40,59.16
177.17,60.82
176.84,64.99
167.52,64.44
174.98,63.35
170.79,60.02
172.05,62.76
174.56,55.77
165.61,60.11
168.37,48.30
172.77,61.15
169.91,59.31
172.21,55.49
169.30,61.64
177.22,54.15
173.80,53.34
166.51,52.35
173.60,47.43
168.30,56.02
168.67,62.75
174.36,59.90
174.51,53.13
172.80,64.19
168.29,58.72
162.81,42.81
170.35,54.65
167.14,54.98
172.85,60.37
171.52,57.94
168.55,55.90
180.01,62.05
173.47,51.70
170.27,53.49
180.12,55.20
174.69,65.92
174.77,58.43
169.69,50.04
165.17,57.49
182.46,63.92
171.22,62.60
174.91,60.08
168.65,57.62
172.47,66.25
175.36,64.17
168.31,57.31
173.90,55.06
